Id,Nome,Squadra,Ruolo,QtI,FVM,pct_titolarita,tit_cont,giornate_perse_stimate,produzione_attesa,p10,p90,presenze_2025_26,fm_media_2025_26,gap_percentile
1000,GiocatoreP01,Inter,P,47,53,41.0,0.4,0.0,43.4,27.599999999999998,59.2,34,5.7,-0.03
1001,GiocatoreP02,Napoli,P,32,46,52.0,0.5,0.6,51.9,34.599999999999994,69.2,34,6.3,-0.02
1002,GiocatoreP03,Roma,P,24,31,88.0,0.9,0.0,37.9,23.099999999999998,52.7,13,7.4,-0.07
1003,GiocatoreP04,Atalanta,P,14,20,45.0,0.5,0.0,28.3,15.200000000000001,41.4,2,7.0,0.01
1004,GiocatoreP05,Torino,P,18,19,61.0,0.6,0.0,22.1,10.100000000000001,34.1,36,5.9,-0.17
1005,GiocatoreP06,Inter,P,12,14,83.0,0.8,0.0,12.0,1.8000000000000007,22.2,6,6.3,-0.02
1006,GiocatoreP07,Napoli,P,13,14,49.0,0.5,0.0,8.1,0.0,17.6,4,6.7,-0.13
1007,GiocatoreP08,Roma,P,7,8,49.0,0.5,0.0,0.1,0.0,8.1,35,5.9,-0.07
1008,GiocatoreP09,Atalanta,P,2,3,43.0,0.4,2.7,5.2,0.0,14.100000000000001,36,7.3,-0.07
1009,GiocatoreP10,Torino,P,2,3,62.0,0.6,0.0,0.0,0.0,7.199999999999999,16,5.8,0.1
1010,GiocatoreP11,Inter,P,1,1,81.0,0.8,0.0,0.0,0.0,5.3999999999999995,8,6.5,-0.16
1011,GiocatoreP12,Napoli,P,1,1,46.0,0.5,0.0,0.0,0.0,6.8999999999999995,27,6.7,-0.05
1012,GiocatoreD01,Napoli,D,44,51,66.0,0.7,0.0,28.3,15.200000000000001,41.4,7,6.9,0.01
1013,GiocatoreD02,Roma,D,35,45,75.0,0.8,0.0,26.6,13.8,39.400000000000006,29,5.5,0.09
1014,GiocatoreD03,Atalanta,D,24,27,93.0,0.9,0.0,28.2,15.1,41.3,32,6.7,-0.14
1015,GiocatoreD04,Torino,D,23,25,70.0,0.7,0.0,28.5,15.4,41.6,0,6.7,-0.0
1016,GiocatoreD05,Inter,D,17,24,60.0,0.6,0.0,32.2,18.400000000000002,46.0,36,7.4,-0.17
1017,GiocatoreD06,Napoli,D,12,15,44.0,0.4,0.0,13.5,3.0999999999999996,23.9,8,6.8,0.18
1018,GiocatoreD07,Roma,D,11,15,69.0,0.7,0.0,26.6,13.8,39.400000000000006,12,6.9,-0.04
