Id,Nome,Squadra,Ruolo,fascia,FVM,QtI,produzione_attesa,p10,p90,pct_titolarita,n_stagioni,fm_L1,fm_storica,fm_shrunk,correzione_fm,base,div_modello,div_regressione,correzione,prezzo
1060,GiocatoreA01,Inter,A,top,131,110,148.4,113.7,183.1,43.0,,,,,0.0,1105.0,0.0,0.0,0.0,1118.5
1061,GiocatoreA02,Napoli,A,top,53,43,50.3,33.2,67.4,40.0,,,,,0.0,447.7,-0.0,0.0,-3.0,450.1
1062,GiocatoreA03,Roma,A,top,51,47,47.2,30.7,63.7,89.0,,,,,0.0,430.8,-0.1,0.0,-3.0,433.0
1063,GiocatoreA04,Atalanta,A,top,49,47,53.4,35.8,71.0,94.0,,,,,0.0,414.0,0.1,0.0,6.0,425.1
1064,GiocatoreA05,Torino,A,top,45,40,46.2,29.9,62.5,47.0,,,,,0.0,380.3,0.0,0.0,1.5,386.4
1065,GiocatoreA06,Inter,A,top,45,35,41.8,26.3,57.3,92.0,,,,,0.0,380.3,-0.1,0.0,-4.5,380.3
1066,GiocatoreA07,Napoli,A,semitop,40,39,43.6,27.8,59.4,59.0,,,,,0.0,338.1,0.1,0.0,3.0,345.3
1067,GiocatoreA08,Roma,A,semitop,37,27,32.4,18.6,46.2,47.0,,,,,0.0,312.8,0.0,0.0,0.0,316.6
1068,GiocatoreA09,Atalanta,A,semitop,24,19,28.9,15.7,42.1,73.0,,,,,0.0,203.3,0.0,0.0,0.0,205.7
1070,GiocatoreA11,Inter,A,semitop,14,12,20.0,8.4,31.6,46.0,,,,,0.0,119.0,0.1,0.0,4.5,125.0
1069,GiocatoreA10,Torino,A,semitop,15,11,10.6,0.7,20.5,77.0,,,,,0.0,127.4,-0.1,0.0,-6.0,122.9
1071,GiocatoreA12,Napoli,A,semitop,14,11,6.3,0.0,15.4,68.0,,,,,0.0,119.0,-0.1,0.0,-4.5,115.9
1073,GiocatoreA14,Atalanta,A,semitop,10,9,15.0,4.3,25.7,66.0,,,,,0.0,85.3,0.1,0.0,6.4,92.8
1072,GiocatoreA13,Roma,A,semitop,10,8,3.5,0.0,12.1,86.0,,,,,0.0,85.3,-0.1,0.0,-3.8,82.4
1074,GiocatoreA15,Torino,A,terza,7,5,0.0,0.0,6.9,88.0,,,,,0.0,60.0,-0.2,0.0,-6.3,54.3
1075,GiocatoreA16,Inter,A,terza,5,4,5.4,0.0,14.4,60.0,,,,,0.0,43.1,0.1,0.0,2.6,46.3
1076,GiocatoreA17,Napoli,A,terza,4,2,1.6,0.0,9.9,92.0,,,,,0.0,34.7,0.0,0.0,1.0,36.2
1077,GiocatoreA18,Roma,A,terza,3,2,0.0,0.0,5.2,45.0,,,,,0.0,26.3,0.0,0.0,0.0,26.6
1078,GiocatoreA19,Atalanta,A,terza,3,2,0.0,0.0,7.6,59.0,,,,,0.0,26.3,0.0,0.0,0.0,26.6
1079,GiocatoreA20,Torino,A,terza,1,1,0.0,0.0,7.6,47.0,,,,,0.0,9.4,0.1,0.0,0.4,10.0
1036,GiocatoreC01,Atalanta,C,top,70,54,87.6,63.8,111.4,67.0,,,,,0.0,517.4,0.0,0.0,0.0,530.4
1037,GiocatoreC02,Torino,C,top,57,42,38.8,23.8,53.8,94.0,,,,,0.0,421.5,-0.1,0.0,-5.0,427.0
1038,GiocatoreC03,Inter,C,top,51,50,40.6,25.3,55.9,78.0,,,,,0.0,377.2,-0.0,0.0,-1.7,385.0
1039,GiocatoreC04,Napoli,C,top,49,47,60.0,41.2,78.8,84.0,,,,,0.0,362.5,0.0,0.0,1.7,373.3
1040,GiocatoreC05,Roma,C,top,46,37,64.0,44.5,83.5,71.0,,,,,0.0,340.3,0.1,0.0,5.0,354.0
1041,GiocatoreC06,Atalanta,C,top,30,28,17.2,6.1,28.3,88.0,,,,,0.0,222.3,-0.1,0.0,-3.3,224.5
1042,GiocatoreC07,Torino,C,semitop,24,21,22.8,10.7,34.9,80.0,,,,,0.0,178.0,0.0,0.0,0.0,182.5
1043,GiocatoreC08,Inter,C,semitop,22,20,24.4,12.0,36.8,65.0,,,,,0.0,163.3,0.1,0.0,3.3,170.8
1044,GiocatoreC09,Napoli,C,semitop,19,15,13.0,2.7,23.3,55.0,,,,,0.0,141.2,-0.2,0.0,-6.7,137.9
1045,GiocatoreC10,Roma,C,semitop,16,15,11.5,1.4,21.6,54.0,,,,,0.0,119.0,-0.2,0.0,-8.3,113.5
1047,GiocatoreC12,Torino,C,semitop,14,11,14.8,4.1,25.5,84.0,,,,,0.0,104.3,0.1,0.0,5.0,112.0
1046,GiocatoreC11,Atalanta,C,semitop,15,13,10.4,0.5,20.3,57.0,,,,,0.0,111.7,-0.2,0.0,-8.3,105.9
1048,GiocatoreC13,Inter,C,semitop,12,10,14.4,3.8,25.0,58.0,,,,,0.0,89.5,0.1,0.0,5.0,96.9
1050,GiocatoreC15,Roma,C,semitop,8,7,12.0,1.8,22.2,57.0,,,,,0.0,60.0,0.0,0.0,1.5,63.0
1051,GiocatoreC16,Atalanta,C,semitop,8,6,7.7,0.0,17.1,77.0,,,,,0.0,60.0,-0.1,0.0,-3.0,58.4
1049,GiocatoreC14,Napoli,C,semitop,8,7,0.0,0.0,7.5,70.0,,,,,0.0,60.0,-0.3,0.0,-12.0,49.2
1054,GiocatoreC19,Napoli,C,semitop,5,4,13.6,3.2,24.0,53.0,,,,,0.0,37.9,0.3,0.0,7.1,46.1
1052,GiocatoreC17,Torino,C,semitop,6,5,7.5,0.0,16.8,74.0,,,,,0.0,45.3,-0.0,0.0,-1.1,45.2
1053,GiocatoreC18,Inter,C,terza,5,4,4.6,0.0,13.4,74.0,,,,,0.0,37.9,-0.0,0.0,-0.5,38.3
1056,GiocatoreC21,Atalanta,C,terza,3,2,13.1,2.7,23.5,94.0,,,,,0.0,23.1,0.4,0.0,4.9,28.7
1055,GiocatoreC20,Roma,C,terza,3,2,3.1,0.0,11.7,78.0,,,,,0.0,23.1,-0.0,0.0,-0.3,23.4
1057,GiocatoreC22,Torino,C,terza,2,1,0.0,0.0,7.3,49.0,,,,,0.0,15.8,-0.0,0.0,-0.4,15.7
1059,GiocatoreC24,Napoli,C,terza,1,1,4.0,0.0,12.7,53.0,,,,,0.0,8.4,0.1,0.0,0.7,9.3
1058,GiocatoreC23,Inter,C,terza,1,1,0.0,0.0,2.6,67.0,,,,,0.0,8.4,0.0,0.0,0.1,8.7
1012,GiocatoreD01,Napoli,D,top,51,44,28.3,15.2,41.4,66.0,,,,,0.0,382.5,-0.1,0.0,-2.0,393.5
1013,GiocatoreD02,Roma,D,top,45,35,26.6,13.8,39.4,75.0,,,,,0.0,337.6,-0.1,0.0,-3.5,345.6
1014,GiocatoreD03,Atalanta,D,top,27,24,28.2,15.1,41.3,93.0,,,,,0.0,203.0,-0.0,0.0,-1.0,208.9
1015,GiocatoreD04,Torino,D,top,25,23,28.5,15.4,41.6,70.0,,,,,0.0,188.0,0.1,0.0,2.0,196.5
1016,GiocatoreD05,Inter,D,top,24,17,32.2,18.4,46.0,60.0,,,,,0.0,180.5,0.2,0.0,4.0,190.8
1018,GiocatoreD07,Roma,D,top,15,11,26.6,13.8,39.4,69.0,,,,,0.0,113.2,0.0,0.0,1.0,118.1
1017,GiocatoreD06,Napoli,D,top,15,12,13.5,3.1,23.9,44.0,,,,,0.0,113.2,-0.1,0.0,-3.5,113.4
1019,GiocatoreD08,Atalanta,D,top,14,12,14.7,4.1,25.3,61.0,,,,,0.0,105.7,-0.0,0.0,-1.0,108.3
1020,GiocatoreD09,Torino,D,top,12,10,15.4,4.6,26.2,53.0,,,,,0.0,90.8,0.0,0.0,1.0,94.9
1021,GiocatoreD10,Inter,D,top,11,8,11.3,1.3,21.3,77.0,,,,,0.0,83.3,-0.0,0.0,-1.0,85.1
1022,GiocatoreD11,Napoli,D,top,10,8,4.1,0.0,12.8,62.0,,,,,0.0,75.8,-0.3,0.0,-6.0,72.2
1023,GiocatoreD12,Roma,D,semitop,9,6,3.6,0.0,12.2,62.0,,,,,0.0,68.3,-0.2,0.0,-6.0,64.4
1027,GiocatoreD16,Napoli,D,semitop,6,5,16.4,5.4,27.4,83.0,,,,,0.0,45.9,0.3,0.0,8.0,55.7
1024,GiocatoreD13,Atalanta,D,semitop,7,5,7.9,0.0,17.3,50.0,,,,,0.0,53.4,-0.0,0.0,-1.0,54.1
1025,GiocatoreD14,Torino,D,semitop,6,5,2.6,0.0,11.1,41.0,,,,,0.0,45.9,-0.2,0.0,-5.0,42.3
1026,GiocatoreD15,Inter,D,semitop,6,4,0.0,0.0,2.5,62.0,,,,,0.0,45.9,-0.4,0.0,-8.5,38.6
1028,GiocatoreD17,Roma,D,semitop,4,3,10.7,0.8,20.6,70.0,,,,,0.0,30.9,0.3,0.0,5.0,37.1
1030,GiocatoreD19,Torino,D,semitop,4,3,8.9,0.0,18.5,72.0,,,,,0.0,30.9,0.2,0.0,4.3,36.3
1031,GiocatoreD20,Inter,D,semitop,4,3,7.1,0.0,16.4,53.0,,,,,0.0,30.9,0.1,0.0,2.7,34.7
1029,GiocatoreD18,Atalanta,D,semitop,4,2,6.4,0.0,15.6,50.0,,,,,0.0,30.9,0.1,0.0,1.9,33.9
1033,GiocatoreD22,Roma,D,semitop,3,2,1.7,0.0,10.0,88.0,,,,,0.0,23.4,0.0,0.0,0.3,24.5
